Liednummer(neu)	Liednummer(alt)	Titel
64,1	752,1	Die ihr ihn fürchtet, vertraut auf den Herrn, II (Kv) / Vertraut auf den Herrn (geändert)
904	872	Die Jungfrau auserkoren
482	n.v.	Die Kirche steht gegründet
83	n.v.	Die Nacht ist vergangen
220	111	Die Nacht ist vorgedrungen
892	876	Die Schönste von allen
n.v.	732,1	Die Völker sollen dir danken, o Gott
n.v.	535,4	Die Weisung Gottes ist gerecht
622,2	124,2	Die Wüste und das trockene Land, VIII (I) / Wüste und Öde - Jesaja 35 (geändert)
n.v.	709,1	Dient dem Herrn in Furcht
214	n.v.	Dies Brot ist mein Leib
305,4	626,4	Dies ist mein Gebot, VI (Kv)
305,4	751,1	Dies ist mein Gebot, VI (Kv)
103	n.v.	Dieser Tag ist Christus eigen
167	476	Dir Gott im Himmel Preis und Ehr
670,8	n.v.	Dir sei Preis und Dank und Ehre (Kv, 1-3-stg.)
183	533	Dir Vater Lobpreis werde
830	n.v.	Dir, dir, o Höchster, will ich singen
782	n.v.	Dir, höchster Gott, sei Preis und Ehr (Ostern)
590,2	n.v.	Domine, non sum dignus
n.v.	377,1	Dominus vobiscum
n.v.	376,3	Dominus vobiscum – Et cum spiritu tuo
746	n.v.	Drei Kön'ge führte Gottes Hand
748	n.v.	Drei Weise ziehen fort zum Herrn
794	279	Dreifaltiger verborgner Gott (geändert)
882	n.v.	Du bist das Brot, das den Hunger stillt
264,2	149,7	Du bist das Licht, die Völker zu erleuchten, VII/VI (Kv, geändert)
625,6	n.v.	Du bist der Ruhm Jerusalems, V (Kv)
834	n.v.	Du bist heilig (Kanon)
373	n.v.	Du bist Licht und du bist Leben, VI (Kv)
59,1	684,1	Du bist Priester auf ewig (Kv), I / Jesus Christus, du bist (geändert)
629,1	712,1	Du führst mich hinaus ins Weite, I (Kv)
879	n.v.	Du Gottmensch
648	n.v.	Du große Herrin (Hymnus, Maria)
323	n.v.	Du hast mein Klagen in Tanzen verwandelt (Kv)
327	n.v.	Du hast mein Klagen in Tanzen verwandelt, II/IX (Kv)
869	n.v.	Du hast uns deine Welt geschenkt
310,8	n.v.	Du hast uns erlöst durch dein Kreuz, V (Kv)
652,1	632	Du hast uns erlöst mit deinem Blut
n.v.	505	Du hast uns, Herr, gerufen
185	798	Du hast, o Herr, dein Leben / O Gott, nimm an die Gaben (geändert)
796	557	Du höchstes Licht
254	n.v.	Du Kind, zu dieser heiligen Zeit
803	553	Du König auf dem Kreuzesthron
96	n.v.	Du lässt den Tag, o Gott, nun enden
615	n.v.	Du Licht des Himmels
95	n.v.	Du Licht vom Lichte (4-stg.)
906	882	Du mein Schutzgeist, Gottes Engel
n.v.	528,1	Du nimmst mich, Herr, bei der Hand
146	n.v.	Du rufst uns, Herr, an deinen Tisch
161	523	Du rufst uns, Herr, trotz unsrer Schuld
891	n.v.	Du schöne Ros'
n.v.	185	Du schweigst, Herr, da der Richter feige
855	n.v.	Du sei bei uns (4-stg., Quast)
182	n.v.	Du sei bei uns (Quast, 1-stg.)
269	675	Du Sonne der Gerechtigkeit / Christus, du Sonne unsres Heils (geändert)
209	n.v.	Du teilst es aus
n.v.	855	Du wahrer Gottessohn
859,9	n.v.	Du wurdest mein Helfer, VI/IX (Kv)
813	n.v.	Du zeigst uns den Pfad zum Leben (Kv)
915	885	Du, aus Davids Stamm geboren
547	n.v.	Du, Herr, hast sie für dich erwählt
n.v.	711,2	Du, Herr, wirst du uns behüten
639,7	192	Durch Christi (seine) Wunden sind wir geheilt, IV (Kv, geändert)
n.v.	360,7	Durch ihn und mit ihm und in ihm
724	810	Ecce Dominus veniet
308,2	204,1	Ecce lignum (Akklamation)
822	456	Ehre dir, Gott, im heil'gen Thron
n.v.	499	Ehre sei Dir, Christe
n.v.	507	Ehre sei Gott im Himmel
n.v.	793	Ehre sei Gott in der Höhe
n.v.	455	Ehre sei Gott in der Höhe
n.v.	444	Ehre sei Gott in der Höhe (Allerheiligen-Messe)
707	n.v.	Ehre sei Gott in der Höhe (Cambourian)
n.v.	430	Ehre sei Gott in der Höhe (Florian-Messe)
166	n.v.	Ehre sei Gott in der Höhe (Haselböck)
173,2	n.v.	Ehre sei Gott in der Höhe (Jesaja-Ton)
709	n.v.	Ehre sei Gott in der Höhe (Kolberg)
131	437	Ehre sei Gott in der Höhe (Paulus)
708	426	Ehre sei Gott in der Höhe (Rohr)
168,2	n.v.	Ehre sei Gott in der Höhe (Stimmer-Salzeder)
816	794	Ehre sei Gott in der Höhe (Verspoell)
636,5	n.v.	Ehre sei Gott in der Höhe, VII (Kv)
413	n.v.	Ehre, Ehre sei Gott in der Höhe (Schubert)
528	n.v.	Ein Bote kommt, der Heil verheißt
382	n.v.	Ein Danklied sei dem Herrn
844	n.v.	Ein Funke, aus Stein geschlagen
478	639	Ein Haus voll Glorie
478	871	Ein Haus voll Glorie (zusätzliche Strophe)
800	856	Ein Herz ist uns geschenket
n.v.	136	Ein Kind ist uns geboren heut
n.v.	148,1	Ein Kind ist uns geboren, …
740	146	Ein Kind, gebor'n zu Bethlehem
n.v.	46	Ein kleines Kind, du großer Gott
